Name,Price,Color,Mileage,Make,Model,City,Date Displayed,Automatic Transmission,Air Conditioner,Power Steering,Remote Control,Item URL
Geely GX3 Pro 2024,"790,000 EGP",Champagne,,Geely,GX3 Pro,Al Shorouk,2023-12-03,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/geely/GX3-pro/6139529
Lada Samara 2007,"150,000 EGP",Dark green,"125,000 Km",Lada,Samara,Helwan,2023-12-02,No,No,No,No,https://eg.hatla2ee.com/en/car/lada/samara/6139427
Toyota Corolla 2009,"540,000 EGP",Black,"136,000 Km",Toyota,Corolla,Beni Suef,2023-12-02,No,No,No,No,https://eg.hatla2ee.com/en/car/toyota/corolla/6139395
Skoda Fantasia 2012,"1,250,000 EGP",Silver,"105,000 Km",Skoda,Fantasia,Mansoura,2023-12-02,Yes,No,No,No,https://eg.hatla2ee.com/en/car/skoda/fantasia/6139304
Chevrolet Cruze 2012,"400,000 EGP",Black,"255,000 Km",Chevrolet,Cruze,6 October,2023-12-02,No,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/cruze/6139242
Hyundai Elantra 2008,"470,000 EGP",Black,"120,000 Km",Hyundai,Elantra,Al Shorouk,2023-12-02,Yes,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/elantra/6139119
Fiat Punto 2009,"260,000 EGP",Black,"123,000 Km",Fiat,Punto,Obour City,2023-12-02,No,No,No,No,https://eg.hatla2ee.com/en/car/fiat/puntu/6139085
Hyundai Elantra HD 2017,"555,000 EGP",Silver,"133,000 Km",Hyundai,Elantra HD,Helwan,2023-12-02,Yes,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/Elantra-HD/6138962
Opel Insignia 2017,"1,165,000 EGP",Dark blue,"113,500 Km",Opel,Insignia,Tagamo3 - New Cairo,2023-12-02,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/opel/insignia/6138885
Fiat 128 1988,"55,000 EGP",White,,Fiat,128,6 October,2023-12-02,No,Yes,No,No,https://eg.hatla2ee.com/en/car/fiat/128/6138918
Opel Crossland 2018,"725,000 EGP",White,"116,000 Km",Opel,Crossland,Tagamo3 - New Cairo,2023-12-02,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/opel/Crossland/6138806
Peugeot 301 2015,"520,000 EGP",Bronze,"133,000 Km",Peugeot,301,Nasr city,2023-12-02,No,No,No,No,https://eg.hatla2ee.com/en/car/peugeot/301/6138791
BMW 318 2010,"850,000 EGP",Gray,"300,000 Km",BMW,318,Cairo,2023-12-02,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/bmw/318/6138842
Hyundai Elantra HD 2022,"850,000 EGP",Gray,"16,700 Km",Hyundai,Elantra HD,El Haram,2023-12-02,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/Elantra-HD/6138800
Peugeot 3008 2014,"675,000 EGP",Silver,"116,000 Km",Peugeot,3008,Cairo,2023-12-02,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/peugeot/3008/6138768
Volkswagen Passat 2011,"680,000 EGP",Bronze,"168,000 Km",Volkswagen,Passat,Cairo,2023-12-02,No,No,No,No,https://eg.hatla2ee.com/en/car/volks-wagen/passat/6138668
Hyundai Elantra AD 2020,"1,200,000 EGP",Black,"55,000 Km",Hyundai,Elantra AD,Tagamo3 - New Cairo,2023-12-02,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/Elantra-AD/6138498
Mazda 929 1984,"80,000 EGP",Gray,"100,000 Km",Mazda,929,Imbaba,2023-12-02,No,No,No,Yes,https://eg.hatla2ee.com/en/car/mazda/929/6138644
Chery Envy 2017,"325,000 EGP",Black,"122,000 Km",Chery,Envy,6 October,2023-12-02,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chery/chery-envy/6138630
Byd L3 2016,"350,000 EGP",Mocha,"125,000 Km",Byd,L3,Shobra,2023-12-02,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/byd/l3/6138417
Volkswagen Jetta 2006,"650,000 EGP",Gray,"200,000 Km",Volkswagen,Jetta,Obour City,2023-12-02,Yes,No,No,No,https://eg.hatla2ee.com/en/car/volks-wagen/jetta/6138414
Mitsubishi Lancer EX Shark 2016,"610,000 EGP",Red,"153,000 Km",Mitsubishi,Lancer EX Shark,Beheira,2023-12-02,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/6138387
Byd F3 2021,"370,000 EGP",White,"190,000 Km",Byd,F3,Suez,2023-12-02,No,No,No,No,https://eg.hatla2ee.com/en/car/byd/f3/6138356
Chery Tiggo 7 2022,"870,000 EGP",Blue,"68,642 Km",Chery,Tiggo 7,Helwan,2023-12-02,No,No,No,No,https://eg.hatla2ee.com/en/car/chery/Tiggo-7/6138296
Daewoo Nubira 2 2005,"185,000 EGP",Blue,"180,000 Km",Daewoo,Nubira 2,Giza,2023-12-02,No,No,No,No,https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/6138275
Chevrolet Optra 2020,"535,000 EGP",Blue,"98,000 Km",Chevrolet,Optra,6 October,2023-12-02,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6138068
Chevrolet Spark 2012,"365,000 EGP",Brown,"90,000 Km",Chevrolet,Spark,Ismailia,2023-12-02,No,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/spark/6138009
Mitsubishi Lancer EX Shark 2016,"725,000 EGP",Dark grey,"73,000 Km",Mitsubishi,Lancer EX Shark,Abu Qir,2023-12-02,Yes,No,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/6137930
Mitsubishi Eclipse Cross 2021,"1,350,000 EGP",Silver,"130,000 Km",Mitsubishi,Eclipse Cross,Ismailia,2023-12-02,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mitsubishi/Eclipse-Cross/6137957
Byd F3 2020,"410,000 EGP",Red,"50,000 Km",Byd,F3,Shobra,2023-12-02,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/byd/f3/6137847
Daewoo Juliet 1999,"220,000 EGP",White,"250,000 Km",Daewoo,Juliet,Qena,2023-12-02,No,No,No,No,https://eg.hatla2ee.com/en/car/daewoo/juliet/6137831
Volkswagen Tiguan 2016,"1,200,000 EGP",Silver,"240,000 Km",Volkswagen,Tiguan,Cairo,2023-12-02,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/volks-wagen/tiguan/6137795
Hyundai Creta 2016,"950,000 EGP",Silver,"109,000 Km",Hyundai,Creta,Mansoura,2023-12-02,No,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/creta/6137642
Hyundai IX 35 2016,"1,000,000 EGP",Red,"180,000 Km",Hyundai,IX 35,El Bagour,2023-12-02,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/IX-35/6137702
Zotye T600 2019,"480,000 EGP",Bronze,"285,000 Km",Zotye,T600,Alexandria,2023-12-01,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/zotye/T600/6137486
Opel Meriva 2016,"550,000 EGP",Silver,"122,000 Km",Opel,Meriva,Al Shorouk,2023-12-01,No,No,No,No,https://eg.hatla2ee.com/en/car/opel/meriva/6137417
Mitsubishi Lancer Puma 2003,"270,000 EGP",Silver,"173,000 Km",Mitsubishi,Lancer Puma,Cairo,2023-12-01,No,Yes,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Puma/6137409
Nissan Sunny 2016,"410,000 EGP",Gray,"240,000 Km",Nissan,Sunny,Cairo,2023-12-01,No,No,No,No,https://eg.hatla2ee.com/en/car/nissan/sunny/6137418
BMW 520 2019,"3,750,000 EGP",Dark blue,"39,000 Km",BMW,520,Mohandessin,2023-12-01,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/bmw/520/6137381
Opel Corsa 2007,"200,000 EGP",Green,"250,000 Km",Opel,Corsa,Kafr el-Sheikh,2023-12-01,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/opel/corsa/6137456
Suzuki Maruti 2000,"98,000 EGP",Blue,"138,000 Km",Suzuki,Maruti,Imbaba,2023-12-01,No,No,No,No,https://eg.hatla2ee.com/en/car/suzuki/maruti/6137253
Daewoo Nubira 2 2005,"210,000 EGP",Silver,"210,000 Km",Daewoo,Nubira 2,Cairo,2023-12-01,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/6137247
Mercedes G 36 AMG 2023,,Black,500 Km,Mercedes,G 36 AMG,Nasr city,2023-12-01,No,No,No,No,https://eg.hatla2ee.com/en/car/mercedes/G-36-AMG/6137232
Speranza A113 2011,"175,000 EGP",Gray,"500,000 Km",Speranza,A113,Heliopolis,2023-12-01,No,No,No,No,https://eg.hatla2ee.com/en/car/speranza/a113/6137213
Suzuki Pickup 2016,"230,000 EGP",Gray,"48,000 Km",Suzuki,Pickup,Alexandria,2023-12-01,No,No,No,No,https://eg.hatla2ee.com/en/car/suzuki/suzuki-pickup/6137033
Chevrolet Optra 2022,"550,000 EGP",Dark grey,"114,807 Km",Chevrolet,Optra,Sadat City,2023-12-01,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6136935
Renault Duster 2020,"875,000 EGP",Dark grey,"74,000 Km",Renault,Duster,Sheikh Zayed City,2023-12-01,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/duster/6136686
Toyota Corolla 2009,"700,000 EGP",Petroleum,"290,000 Km",Toyota,Corolla,Mansoura,2023-12-01,No,No,No,No,https://eg.hatla2ee.com/en/car/toyota/corolla/6136784
Speranza A516 2008,"175,000 EGP",Black,,Speranza,A516,6 October,2023-12-01,No,No,No,No,https://eg.hatla2ee.com/en/car/speranza/a516/6136581
Chevrolet Optra 2007,"275,000 EGP",Black,"295,000 Km",Chevrolet,Optra,Dokki,2023-12-01,Yes,Yes,No,No,https://eg.hatla2ee.com/en/car/chevrolet/optra/6136664
Volkswagen Passat 2014,"900,000 EGP",White,"200,000 Km",Volkswagen,Passat,El Haram,2023-12-01,No,No,No,No,https://eg.hatla2ee.com/en/car/volks-wagen/passat/6136616
Fiat Palio 2006,"165,000 EGP",Red,"115,000 Km",Fiat,Palio,Alexandria,2023-12-01,No,Yes,No,No,https://eg.hatla2ee.com/en/car/fiat/palio/6136643
Skoda Foreman 1994,"80,000 EGP",Blue,"100,000 Km",Skoda,Foreman,6 October,2023-12-01,No,No,No,No,https://eg.hatla2ee.com/en/car/skoda/foreman/6136562
Mercedes A 45 AMG 2022,"3,000,000 EGP",Gray,"21,000 Km",Mercedes,A 45 AMG,6 October,2023-12-01,No,No,No,No,https://eg.hatla2ee.com/en/car/mercedes/A-45-AMG/6136487
Jeep Wrangler Unlimited 2016,"1,650,000 EGP",Dark red,"230,000 Km",Jeep,Wrangler Unlimited,Cairo,2023-12-01,No,No,No,No,https://eg.hatla2ee.com/en/car/jeep/wrangler-unlimited/6136277
Mercedes 200 2011,"1,000,000 EGP",Black,"185,000 Km",Mercedes,200,Tagamo3 - New Cairo,2023-12-01,No,No,No,No,https://eg.hatla2ee.com/en/car/mercedes/200/6136325
Renault Megane 2020,"810,000 EGP",Bronze,"78,000 Km",Renault,Megane,Mansoura,2023-12-01,Yes,No,No,No,https://eg.hatla2ee.com/en/car/renault/megane/6136346
Peugeot 3008 2017,"1,300,000 EGP",Silver,"55,000 Km",Peugeot,3008,Cairo,2023-12-01,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/peugeot/3008/6136289
Peugeot 3008 2017,"1,100,000 EGP",Silver,"45,000 Km",Peugeot,3008,Maadi,2023-12-01,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/peugeot/3008/6136278
Ford Transit 2019,"700,000 EGP",White,"275,000 Km",Ford,Transit,Mokattam,2023-12-01,No,No,No,No,https://eg.hatla2ee.com/en/car/ford/Transit/6136275
Kia Sportage 2022,"1,415,000 EGP",Silver,"45,000 Km",Kia,Sportage,Cairo,2023-12-01,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/sportage/6136233
Mercedes C 180 2013,"920,000 EGP",Silver,"149,000 Km",Mercedes,C 180,Obour City,2023-12-01,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/mercedes/c-180/6136200
Lada Granta 2020,"475,000 EGP",Dark red,"43,500 Km",Lada,Granta,Alexandria,2023-12-01,Yes,No,No,No,https://eg.hatla2ee.com/en/car/lada/granta/6136164
Mitsubishi Lancer Puma 2008,"450,000 EGP",Red,"185,000 Km",Mitsubishi,Lancer Puma,El Haram,2023-12-01,No,No,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Puma/6136152
Speranza Tiggo 2011,"310,000 EGP",Black,"87,000 Km",Speranza,Tiggo,Obour City,2023-12-01,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/speranza/tiggo/6136157
Geely Emgrand 7 2015,"250,000 EGP",Gold,"300,000 Km",Geely,Emgrand 7,Imbaba,2023-12-01,No,Yes,No,Yes,https://eg.hatla2ee.com/en/car/geely/emgrand7/6136145
Daihatsu Mira 1998,"105,000 EGP",Dark blue,"180,000 Km",Daihatsu,Mira,Alexandria,2023-12-01,No,No,No,No,https://eg.hatla2ee.com/en/car/daihatsu/mira/6136128
Suzuki Grand vitara 2017,"850,000 EGP",Cyan,"105,000 Km",Suzuki,Grand vitara,Damietta,2023-12-01,Yes,No,No,No,https://eg.hatla2ee.com/en/car/suzuki/Grand-vitara/6136094
Hyundai Avante 2013,"470,000 EGP",White,"130,000 Km",Hyundai,Avante,Dyarb Negm,2023-12-01,Yes,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/avante/6136079
Fiat Tipo 2021,"750,000 EGP",Black,"112,000 Km",Fiat,Tipo,Cairo,2023-12-01,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/fiat/tipo/6136032
Chevrolet Optra 2016,"420,000 EGP",Bronze,"190,000 Km",Chevrolet,Optra,Giza,2023-12-01,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6135989
Speranza Tiggo 2009,"350,000 EGP",Black,"209,000 Km",Speranza,Tiggo,Banha,2023-12-01,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/speranza/tiggo/6135969
Skoda Rapid Spaceback 2015,"650,000 EGP",Gray,"118,000 Km",Skoda,Rapid Spaceback,Alexandria,2023-12-01,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/skoda/rapid-spaceback/6135902
Renault Logan 2017,"345,000 EGP",Black,"140,000 Km",Renault,Logan,Tagamo3 - New Cairo,2023-11-30,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/logan/6135762
Mitsubishi Lancer Puma 2008,"375,000 EGP",Gold,"182,000 Km",Mitsubishi,Lancer Puma,Marsa Matrouh,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Puma/6135756
Volkswagen Bora 2002,"415,000 EGP",Green,"325,000 Km",Volkswagen,Bora,Nasr city,2023-11-30,No,No,No,No,https://eg.hatla2ee.com/en/car/volks-wagen/bora/6135801
Hyundai Elantra AD 2019,"870,000 EGP",Gold,"70,000 Km",Hyundai,Elantra AD,Faiyum,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/Elantra-AD/6135692
Baic MZ 40 2018,"250,000 EGP",White,"72,000 Km",Baic,MZ 40,Alexandria,2023-11-30,No,No,No,No,https://eg.hatla2ee.com/en/car/baic/MZ-40/6135588
Renault Megane 2000,"135,000 EGP",Red,"150,000 Km",Renault,Megane,Aswan,2023-11-30,No,Yes,No,Yes,https://eg.hatla2ee.com/en/car/renault/megane/6135501
Hyundai Tucson 2017,"1,280,000 EGP",Silver,"100,000 Km",Hyundai,Tucson,Dakahlia,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/tucson/6135573
Byd F3 2020,"400,000 EGP",Blue,"140,000 Km",Byd,F3,Cairo,2023-11-30,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/byd/f3/6135440
Volvo S40 2000,"350,000 EGP",Petroleum,"199,000 Km",Volvo,S40,Nasr city,2023-11-30,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/volvo/s40/6135450
Chevrolet Lanos 2010,"250,000 EGP",Black,"201,123 Km",Chevrolet,Lanos,Mohandessin,2023-11-30,No,Yes,Yes,No,https://eg.hatla2ee.com/en/car/chevrolet/lanos2/6135351
Chevrolet N300 2021,"400,000 EGP",Red,"112,000 Km",Chevrolet,N300,Pyramids Gardens,2023-11-30,No,Yes,Yes,No,https://eg.hatla2ee.com/en/car/chevrolet/n300/6135386
Kia Cerato 2016,"680,000 EGP",Black,"180,000 Km",Kia,Cerato,Ismailia,2023-11-30,No,No,No,No,https://eg.hatla2ee.com/en/car/kia/cerato/6135405
Renault Fluence 2016,"570,000 EGP",Petroleum,"140,000 Km",Renault,Fluence,El Katameya,2023-11-30,No,No,No,No,https://eg.hatla2ee.com/en/car/renault/fluence/6135299
Kia K3 2015,"700,000 EGP",White,"76,000 Km",Kia,K3,Kafr el-Sheikh,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/K3/6135255
Daihatsu Terios 2011,"500,000 EGP",Silver,"205,000 Km",Daihatsu,Terios,Cairo,2023-11-30,Yes,No,Yes,No,https://eg.hatla2ee.com/en/car/daihatsu/terios/6135219
Nissan Sentra 2018,"750,000 EGP",Bronze,"51,000 Km",Nissan,Sentra,Tagamo3 - New Cairo,2023-11-30,Yes,No,No,No,https://eg.hatla2ee.com/en/car/nissan/sentra/6135243
DFSK 330S 2021,"465,000 EGP",Black,"93,000 Km",DFSK,330S,6 October,2023-11-30,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/dfsk/330S/6135140
Volkswagen Passat 2010,"650,000 EGP",Mocha,"250,000 Km",Volkswagen,Passat,6 October,2023-11-30,Yes,No,No,No,https://eg.hatla2ee.com/en/car/volks-wagen/passat/6135086
Peugeot 307 2007,"395,000 EGP",Silver,"240,000 Km",Peugeot,307,Cairo,2023-11-30,Yes,No,No,No,https://eg.hatla2ee.com/en/car/peugeot/307/6135131
Geely Maple 2007,"130,000 EGP",Black,"245,000 Km",Geely,Maple,Tagamo3 - New Cairo,2023-11-30,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/geely/maple/6135176
Geely Emgrand 7 2015,"230,000 EGP",White,"260,000 Km",Geely,Emgrand 7,Imbaba,2023-11-30,No,No,No,No,https://eg.hatla2ee.com/en/car/geely/emgrand7/6135179
Renault Logan 2016,"270,000 EGP",Dark red,"245,000 Km",Renault,Logan,6 October,2023-11-30,No,Yes,No,No,https://eg.hatla2ee.com/en/car/renault/logan/6135096
Toyota Corolla 2021,"1,200,000 EGP",Silver,"55,000 Km",Toyota,Corolla,Suez,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/toyota/corolla/6135147
Chevrolet Aveo 2009,"280,000 EGP",Dark grey,"290,000 Km",Chevrolet,Aveo,Mokattam,2023-11-30,No,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/aveo/6134961
Mitsubishi Lancer EX Shark 2015,"630,000 EGP",Dark grey,"150,000 Km",Mitsubishi,Lancer EX Shark,Sharqia,2023-11-30,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/6134946
Hyundai Elantra AD 2019,"600,000 EGP",Gold,"120,000 Km",Hyundai,Elantra AD,Tagamo3 - New Cairo,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/Elantra-AD/6135033
Kia Soul 2010,"560,000 EGP",Dark grey,"220,000 Km",Kia,Soul,Zagazig,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/soul/6134997
Hyundai Tucson 2024,"1,000,970 EGP",Gray,0 Km,Hyundai,Tucson,El Minya,2023-11-30,Yes,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/tucson/6134906
Volvo XC90 2020,"3,600,000 EGP",Black,"75,000 Km",Volvo,XC90,Cairo,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/volvo/xc90/6134787
Renault Fluence 2010,"410,000 EGP",Dark grey,"240,000 Km",Renault,Fluence,Cairo,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/fluence/6134799
BMW 320 2016,"1,650,000 EGP",Dark grey,"160,000 Km",BMW,320,Tagamo3 - New Cairo,2023-11-30,Yes,No,No,No,https://eg.hatla2ee.com/en/car/bmw/320/6134763
Skoda Octavia A4 1999,"400,000 EGP",Silver,"106,000 Km",Skoda,Octavia A4,Beheira,2023-11-30,No,No,No,No,https://eg.hatla2ee.com/en/car/skoda/Octavia-A4/6134654
Geely Emgrand 7 2017,"265,000 EGP",Dark red,"151,500 Km",Geely,Emgrand 7,Cairo,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/geely/emgrand7/6134669
Fiat Tipo 2022,"950,000 EGP",Dark green,"14,000 Km",Fiat,Tipo,Cairo,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/fiat/tipo/6134504
Kia Sephia 1998,"168,000 EGP",Blue,,Kia,Sephia,Zefta,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/sephia/6134567
Kia Sephia 1999,"168,000 EGP",Blue,"11,000 Km",Kia,Sephia,Mit Ghamr,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/sephia/6134508
Ford Escort 1999,"150,000 EGP",Silver,"150,000 Km",Ford,Escort,Helwan,2023-11-30,No,No,No,No,https://eg.hatla2ee.com/en/car/ford/ascot/6134570
Hyundai Elantra 1994,"135,000 EGP",White,"25,000 Km",Hyundai,Elantra,10th of Ramadan,2023-11-30,Yes,No,Yes,No,https://eg.hatla2ee.com/en/car/hyundai/elantra/6134583
Nissan Sunny 2017,"450,000 EGP",Red,"140,000 Km",Nissan,Sunny,Banha,2023-11-30,No,Yes,No,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6134468
Chevrolet Optra 2018,"410,000 EGP",Dark blue,"200,000 Km",Chevrolet,Optra,Cairo,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6134399
Chevrolet Aveo 2020,"600,000 EGP",Silver,"95,000 Km",Chevrolet,Aveo,Sohag,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/aveo/6134369
Fiat 500 X 2017,"930,000 EGP",Dark blue,"70,000 Km",Fiat,500 X,Tagamo3 - New Cairo,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/fiat/500X/6134270
Hyundai Tucson 2021,"1,650,000 EGP",Silver,"74,000 Km",Hyundai,Tucson,Tagamo3 - New Cairo,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/tucson/6134267
Suzuki Alto 2007,"145,000 EGP",Gold,"200,000 Km",Suzuki,Alto,6 October,2023-11-30,No,Yes,No,No,https://eg.hatla2ee.com/en/car/suzuki/alto/6134244
Hyundai Elantra HD 2018,"640,000 EGP",Dark red,"140,000 Km",Hyundai,Elantra HD,El Haram,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/Elantra-HD/6134264
Opel Astra 2013,"620,000 EGP",Dark grey,"217,000 Km",Opel,Astra,Sheikh Zayed City,2023-11-30,No,No,No,No,https://eg.hatla2ee.com/en/car/opel/astra/6139904
Skoda Felicia 1996,"175,000 EGP",Green,"100,000 Km",Skoda,Felicia,Nasr city,2023-11-30,No,No,No,No,https://eg.hatla2ee.com/en/car/skoda/felicia/6134106
Ford EcoSport 2014,"500,000 EGP",Black,"150,000 Km",Ford,EcoSport,Mansoura,2023-11-30,Yes,No,No,No,https://eg.hatla2ee.com/en/car/ford/ecosport/6134150
Chevrolet Aveo 2006,"250,000 EGP",Orange,"280,000 Km",Chevrolet,Aveo,Dikirnis,2023-11-30,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/aveo/6134066
Daewoo Nubira 2 2004,"220,000 EGP",Silver,"140,000 Km",Daewoo,Nubira 2,Asyut,2023-11-30,No,No,No,No,https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/6134054
Mitsubishi Lancer EX Shark 2015,"685,000 EGP",Silver,"108,000 Km",Mitsubishi,Lancer EX Shark,Nasr city,2023-11-30,Yes,No,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/6134045
Chevrolet T-Series 2013,"400,000 EGP",White,,Chevrolet,T-Series,Gharbia,2023-11-30,No,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/T-Series/6134015
Hyundai Accent 2010,"380,000 EGP",Black,"168,000 Km",Hyundai,Accent,El Minya,2023-11-30,No,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/accent/6133994
Toyota Corolla 2016,"800,000 EGP",Green,"122,000 Km",Toyota,Corolla,Beni Suef,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/toyota/corolla/6133949
Chevrolet Optra 2016,"455,000 EGP",Gray,"100,000 Km",Chevrolet,Optra,Giza,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6133970
Opel Corsa 2006,"250,000 EGP",Silver,"173,000 Km",Opel,Corsa,Aswan,2023-11-30,No,No,No,No,https://eg.hatla2ee.com/en/car/opel/corsa/6132962
Volkswagen Tiguan 2016,"1,250,000 EGP",Bronze,"100,000 Km",Volkswagen,Tiguan,Sharqia,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/volks-wagen/tiguan/6133916
Kia Grand Cerato 2022,"1,150,000 EGP",Cyan,"40,000 Km",Kia,Grand Cerato,Alexandria,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/Grand-Cerato/6133893
Toyota Yaris 2015,"700,000 EGP",Black,"120,000 Km",Toyota,Yaris,Alexandria,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/toyota/yaris/6133835
BMW X6 2017,"3,600,000 EGP",Black,"94,000 Km",BMW,X6,6 October,2023-11-30,Yes,No,No,Yes,https://eg.hatla2ee.com/en/car/bmw/x6/6133871
Nissan Qashqai 2012,"650,000 EGP",White,"150,000 Km",Nissan,Qashqai,Suez,2023-11-30,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/nissan/qashqai/6133881
Geely X7 2019,"700,000 EGP",White,"137,000 Km",Geely,X7,Monufia,2023-11-30,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/geely/geely-x7/6133868
Opel Astra 2004,"220,000 EGP",Silver,"200,000 Km",Opel,Astra,Port Said,2023-11-30,No,No,No,No,https://eg.hatla2ee.com/en/car/opel/astra/6133721
Hyundai IX 35 2014,"850,000 EGP",Dark grey,"119,000 Km",Hyundai,IX 35,El Mahalla,2023-11-30,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/hyundai/IX-35/6133668
Infiniti Fx 2008,"750,000 EGP",Black,"215,000 Km",Infiniti,Fx,Cairo,2023-11-29,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/infiniti/inifiniti-fx/6133598
